SDSS Object ID,RA,DEC,zsp,DR1 Source,RA,DEC,Sint,DR2 Source,RA,DEC,Sint,Offset,WISE,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W23,W12
1237661417678569692,222.988848,51.264868,0.02587,ILTJ145159.56+511540.7,222.9982,51.2613,1.4,ILTJ145159.46+511540.8,222.99776,51.26135,1.291,23.74,J145157.36+511553.7,11.762,0.023,11.854,0.021,9.294,0.028,2.56,-0.092
1237661388144705681,224.142974,51.521067,0.03664,ILTJ145634.34+513115.7,224.1431,51.5211,5.4,ILTJ145634.31+513116.0,224.14297,51.52112,4.797,0.18,J145634.32+513115.7,13.007,0.023,12.812,0.024,8.924,0.024,3.888,0.195
1237657628992798746,186.730084,52.075674,0.03002,ILTJ122655.25+520433.6,186.7302,52.076,1.8,ILTJ122655.26+520433.5,186.73026,52.07598,2.261,1.18,J122655.21+520432.5,11.098,0.023,11.129,0.02,9.861,0.04,1.268,-0.031
1237662301892182068,194.610883,52.094503,0.03406,ILTJ125826.66+520540.1,194.6111,52.0945,2.6,ILTJ125826.64+520539.9,194.61102,52.09444,3.59,0.38,J125826.64+520540.1,11.274,0.023,11.325,0.02,10.391,0.07,0.934,-0.051
1237661958830161935,196.545529,52.110883,0.02595,ILTJ130610.95+520639.3,196.5456,52.1109,0.9,ILTJ130611.00+520639.4,196.54582,52.11096,1.091,0.7,J130610.93+520639.2,13.041,0.023,12.984,0.027,9.245,0.032,3.739,0.057
1237662301891985471,193.834273,52.12177,0.03793,ILTJ125520.16+520718.5,193.834,52.1218,1.2,ILTJ125520.14+520718.6,193.83391,52.12184,1.765,0.84,J125520.24+520718.6,13.703,0.029,13.557,0.032,10.209,0.058,3.348,0.146
1237662302966513673,196.790812,52.546426,0.02658,ILTJ130709.78+523247.0,196.7908,52.5464,2.2,ILTJ130709.78+523246.7,196.79075,52.54633,2.946,0.37,J130709.77+523247.6,12.075,0.031,11.982,0.03,9.399,0.044,2.583,0.093
1237659131668660268,205.716033,52.708465,0.00594,ILTJ134251.89+524230.7,205.7162,52.7085,0.9,ILTJ134251.82+524230.8,205.71592,52.70858,1.163,0.48,J134251.82+524230.6,14.251,0.027,14.079,0.036,10.842,0.096,3.237,0.172
1237659149923385470,225.721161,52.715297,0.03602,ILTJ150253.03+524255.0,225.721,52.7153,2.4,ILTJ150253.05+524255.1,225.72102,52.71532,2.853,0.31,J150253.04+524254.0,13.474,0.039,13.428,0.043,10.545,0.085,2.883,0.046
1237657630068047926,192.529566,52.850131,0.03304,ILTJ125007.10+525100.2,192.5296,52.8501,1.1,ILTJ125007.03+525100.9,192.52928,52.85026,1.462,0.78,J125007.09+525100.6,10.997,0.022,11.064,0.021,10.296,0.059,0.768,-0.067
